naics_edition_year,history_year,history_naics,cur_naics
2017,2017,31152,31152
2017,2022,31152,31152
2017,2012,311520,311520
2017,2017,311520,311520
2017,2022,311520,311520
2017,2012,3116,3116
2017,2017,3116,3116
2017,2022,3116,3116
2017,2012,31161,31161
2017,2017,31161,31161
2017,2022,31161,31161
2017,2012,311611,311611
2017,2017,311611,311611
2017,2022,311611,311611
2017,2012,311612,311612
2017,2017,311612,311612
2017,2022,311612,311612
2017,2012,311613,311613
2017,2017,311613,311613
2017,2022,311613,311613
2017,2012,311615,311615
2017,2017,311615,311615
2017,2022,311615,311615
2017,2012,3117,3117
2017,2017,3117,3117
2017,2022,3117,3117
2017,2012,31171,31171
2017,2017,31171,31171
2017,2022,31171,31171
2017,2012,311710,311710
2017,2017,311710,311710
2017,2022,311710,311710
2017,2012,3118,3118
2017,2017,3118,3118
2017,2022,3118,3118
2017,2012,31181,31181
2017,2017,31181,31181
2017,2022,31181,31181
2017,2012,311811,311811
2017,2017,311811,311811
2017,2022,311811,311811
2017,2012,311812,311812
2017,2017,311812,311812
2017,2022,311812,311812
2017,2012,311813,311813
2017,2017,311813,311813
2017,2022,311813,311813
2017,2012,31182,31182
2017,2017,31182,31182
2017,2022,31182,31182
2017,2012,311821,311821
2017,2017,311821,311821
2017,2022,311821,311821
2017,2012,311824,311824
2017,2017,311824,311824
2017,2022,311824,311824
2017,2012,31183,31183
2017,2017,31183,31183
2017,2022,31183,31183
2017,2012,311830,311830
2017,2017,311830,311830
2017,2022,311830,311830
2017,2012,3119,3119
2017,2017,3119,3119
2017,2022,3119,3119
2017,2012,31191,31191
2017,2017,31191,31191
2017,2022,31191,31191
2017,2012,311911,311911
2017,2017,311911,311911
2017,2022,311911,311911
2017,2012,311919,311919
2017,2017,311919,311919
2017,2022,311919,311919
2017,2012,31192,31192
2017,2017,31192,31192
2017,2022,31192,31192
2017,2012,311920,311920
2017,2017,311920,311920
2017,2022,311920,311920
2017,2012,31193,31193
2017,2017,31193,31193
2017,2022,31193,31193
2017,2012,311930,311930
2017,2017,311930,311930
2017,2022,311930,311930
2017,2012,31194,31194
2017,2017,31194,31194
2017,2022,31194,31194
2017,2012,311941,311941
2017,2017,311941,311941
2017,2022,311941,311941
2017,2012,311942,311942
2017,2017,311942,311942
2017,2022,311942,311942
2017,2012,31199,31199
2017,2017,31199,31199
2017,2022,31199,31199
2017,2012,311991,311991
2017,2017,311991,311991
2017,2022,311991,311991
2017,2012,311999,311999
2017,2017,311999,311999
2017,2022,311999,311999
2017,2012,312,312
2017,2017,312,312
2017,2022,312,312
2017,2012,3121,3121
2017,2017,3121,3121
2017,2022,3121,3121
2017,2012,31211,31211
2017,2017,31211,31211
2017,2022,31211,31211
2017,2012,312111,312111
2017,2017,312111,312111
2017,2022,312111,312111
2017,2012,312112,312112
2017,2017,312112,312112
2017,2022,312112,312112
2017,2012,312113,312113
2017,2017,312113,312113
2017,2022,312113,312113
2017,2012,31212,31212
2017,2017,31212,31212
2017,2022,31212,31212
2017,2012,312120,312120
2017,2017,312120,312120
2017,2022,312120,312120
2017,2012,31213,31213
2017,2017,31213,31213
2017,2022,31213,31213
2017,2012,312130,312130
2017,2017,312130,312130
2017,2022,312130,312130
2017,2012,31214,31214
2017,2017,31214,31214
2017,2022,31214,31214
2017,2012,312140,312140
2017,2017,312140,312140
2017,2022,312140,312140
2017,2012,3122,3122
2017,2017,3122,3122
2017,2022,3122,3122
2017,2012,31223,31223
2017,2017,31223,31223
2017,2022,31223,31223
2017,2012,312230,312230
2017,2017,312230,312230
2017,2022,312230,312230
2017,2012,313,313
2017,2017,313,313
2017,2022,313,313
2017,2012,3131,3131
2017,2017,3131,3131
2017,2022,3131,3131
2017,2012,31311,31311
2017,2017,31311,31311
2017,2022,31311,31311
2017,2012,313110,313110
2017,2017,313110,313110
2017,2022,313110,313110
2017,2012,3132,3132
2017,2017,3132,3132
2017,2022,3132,3132
2017,2012,31321,31321
2017,2017,31321,31321
2017,2022,31321,31321
2017,2012,313210,313210
2017,2017,313210,313210
2017,2022,313210,313210
2017,2012,31322,31322
2017,2017,31322,31322
2017,2022,31322,31322
2017,2012,313220,313220
2017,2017,313220,313220
2017,2022,313220,313220
2017,2012,31323,31323
2017,2017,31323,31323
2017,2022,31323,31323
2017,2012,313230,313230
